ID_NR,year,day_number,age_for_analyses,cub_status,cub_number,lon,lat,merking,event,ecotype,year_death
7729,1988,96,8,yr,2,16.47,77,n,8,O,NA
7729,2000,98,20,n,NA,22.973,77.603,r,11,O,NA
7732,1988,103,11,n,NA,16.5,77,n,11,NA,NA
7733,1988,105,4,NA,NA,16.2,77,n,3,NA,NA
7736,1989,83,7,n,NA,16.5,77,n,11,O,NA
7737,1989,84,2,NA,NA,15.7,77,n,1,C,NA
7738,1989,84,9,yr,2,16,77,n,8,C,NA
7741,1989,85,2,NA,NA,16.5,77,n,1,O,1991
7750,1990,63,9,yr,1,14.7,77.5,n,7,O,NA
7752,1990,65,12,yr,2,14.7,77.5,n,8,O,NA
7753,2009,112,20,yr,1,18.973,78.323,r,7,O,NA
7753,2012,96,23,yr,1,21.1486,79.5332,r,7,O,NA
7755,1990,66,14,2yr,2,16.2,77.4,n,10,C,NA
7757,1990,66,2,NA,NA,16.2,77.1,n,1,C,NA
7757,1992,104,4,NA,NA,17.383,77.025,r,3,C,NA
7757,2003,95,15,c,2,16.8,76.81,r,6,C,NA
7757,2004,103,16,n,NA,17.248,77.047,r,11,C,NA
7757,2005,117,17,c,3,17.362,77.055,r,6,C,NA
7757,2008,116,20,c,2,17.767,77.343,r,6,C,NA
7761,1990,79,7,n,NA,16.5,77,n,11,O,NA
7761,1995,98,12,c,2,25.43,76.7,r,6,O,NA
7765,1990,88,6,n,NA,16.5,77,n,11,O,NA
7765,2001,111,16,yr,1,25.802,77.202,r,7,O,NA
7765,2005,104,20,2yr,1,13.20197,78.56583,r,9,O,NA
7767,1990,88,16,n,NA,16.5,77,n,11,O,NA
7768,1990,96,10,yr,2,NA,NA,n,8,C,NA
7768,1991,103,11,n,NA,18.883,78.383,r,11,C,NA
7768,1993,99,13,n,NA,18.69,78.33,r,11,C,NA
7768,2001,126,21,yr,1,18.304,78.854,r,7,C,NA
7771,1990,96,13,yr,1,18.69,77.33,n,7,C,NA
7771,1991,103,14,2yr,1,18.09,78.153,r,9,C,NA
7773,1990,96,3,NA,NA,18,77.5,n,2,C,NA
7773,1991,107,4,NA,NA,19.045,78.075,r,3,C,NA
7773,1993,106,6,n,NA,19.253,78.526,r,11,C,NA
7773,2008,125,21,yr,1,19.912,78.572,r,7,C,NA
7773,2009,114,22,2yr,1,20.058,78.615,r,9,C,NA
7773,2010,103,23,n,NA,19.749,78.551,r,11,C,NA
7774,1990,98,15,n,NA,15.4,77.7,n,11,O,NA
7777,1990,98,13,n,NA,16.5,77,n,11,NA,NA
7782,1991,99,11,yr,1,18.005,77.683,n,7,C,NA
7786,1991,102,14,n,NA,15.667,76.983,n,11,O,NA
7788,1991,103,3,NA,NA,18.867,78.4,n,2,C,NA
7788,1992,106,4,n,NA,18.4,77.9,r,3,C,NA
7789,1991,103,4,n,NA,18.9,78.433,n,3,C,NA
7789,1993,120,6,n,NA,19.25,78.55,r,11,C,NA
7789,1995,116,8,yr,2,18.95,78.505,r,8,C,NA
7790,1991,103,3,NA,NA,20.667,78.483,n,2,C,NA
7790,1998,107,10,n,NA,22.477,77.403,r,11,C,NA
7791,1991,103,15,n,NA,19.167,78.683,n,11,C,NA
7792,1991,106,4,n,NA,18.95,78.183,n,3,C,NA
7792,1993,101,6,n,NA,18.354,77.518,r,11,C,NA
7793,1991,106,10,n,NA,19.133,78.383,n,11,C,NA
7793,1993,103,12,c,2,20.633,78.341,r,6,C,NA
7794,1991,106,3,NA,NA,19.083,78.467,n,2,NA,NA
7798,1991,107,12,2yr,2,20.05,78.683,n,10,O,NA
7799,1991,107,2,NA,NA,20.05,78.683,n,1,NA,NA
7801,1991,108,6,n,NA,18.583,77.733,n,11,NA,NA
7801,1996,122,11,yr,2,18.35,77.63,r,8,NA,NA
7802,1991,108,11,n,NA,18.3,77.6,n,11,C,NA
7802,1992,115,12,n,1,17.67,77.35,r,11,C,NA
7802,2008,118,28,n,NA,18.236,77.493,r,11,C,NA
7803,1991,108,6,n,NA,17.45,77.233,n,11,C,NA
7803,1996,122,11,yr,1,16.2,77.4,r,7,C,NA
7803,2000,96,15,c,2,17.637,77.457,r,6,C,NA
7803,2005,106,20,n,NA,16.18593,77.02217,r,11,C,NA
7803,2008,118,23,c,1,17.761,77.25,r,5,C,NA
7804,1991,108,5,n,NA,16.5,77,n,4,C,NA
7805,1991,109,2,NA,NA,19.183,78.233,n,1,C,NA
7805,1993,99,4,NA,NA,18.85,78.33,r,3,C,NA
7805,2001,126,12,yr,1,19.17,78.229,r,7,C,NA
7805,2003,111,14,c,2,18.808,78.338,r,6,C,NA
7805,2005,115,16,n,NA,19.114,78.408,r,11,C,NA
7805,2013,119,24,yr,1,19.076,78.169,r,7,C,NA
7806,1991,109,10,n,NA,20.433,78.433,n,11,C,NA
7807,1991,109,10,n,NA,19.5,78.52,n,11,O,NA
7809,1991,123,8,yr,1,NA,NA,n,7,NA,NA
7811,1992,100,2,NA,NA,19.283,78.533,n,1,NA,NA
7812,1992,100,4,NA,NA,18.35,77.7,n,3,NA,NA
7814,1992,103,5,n,NA,15.15,77.333,n,4,C,NA
7815,1992,103,6,n,NA,16.383,77.05,n,11,C,NA
7815,1995,117,9,2yr,2,16.3,77,r,10,C,NA
7815,2003,109,17,yr,2,18.367,77.65,r,8,C,NA
7815,2005,109,19,c,1,17.41478,77.12648,r,5,C,NA
7817,1992,104,11,yr,1,18.35,77.9,n,7,C,NA
7817,1993,106,12,n,NA,17.309,77.021,r,11,C,NA
7819,1992,104,5,n,NA,17.433,77.233,n,4,NA,NA
7822,1992,104,10,yr,1,18.533,77.783,n,7,C,NA
7822,1993,119,11,c,2,18.4,77.73,r,6,C,NA
7824,1992,105,4,NA,NA,20.56,78.45,n,3,O,NA
7825,1992,105,7,n,NA,18.3,77.7,n,11,NA,NA
7826,1992,105,15,n,2,18.383,77.583,n,11,NA,NA
7829,1992,118,9,n,NA,16.25,76.95,n,11,O,NA
7830,1992,118,13,yr,1,16.25,77.03,n,7,O,NA
7832,1992,120,15,n,NA,15.544,77.001,n,11,NA,NA
7836,2007,101,15,n,NA,18.833,80.217,r,11,C,NA
7838,1993,99,14,n,NA,18.9,78.51,r,11,C,NA
7839,2009,112,18,yr,2,20.294,78.709,r,8,C,NA
7847,1989,86,5,n,NA,15.7,77,n,4,NA,NA
7847,1993,97,9,n,NA,16,77,r,11,NA,NA
7847,1995,117,11,yr,1,16,77,r,7,NA,NA
7851,1992,114,11,c,2,18.544,77.95,n,6,C,NA
7851,1993,101,12,yr,2,18.219,77.9,r,8,C,NA
7857,1993,102,8,c,2,22.584,77.336,n,6,O,NA
7860,1993,102,6,c,2,23.519,77.902,n,6,O,NA
7863,1993,102,10,c,2,21.667,78.224,n,6,C,NA
7863,2000,95,17,n,NA,21.768,77.49,r,11,C,NA
7863,2004,107,21,c,2,20.95,77.617,r,6,C,NA
7873,1993,119,14,c,2,17.66,77.5,n,6,O,NA
7877,1993,120,5,n,NA,18.55,77.8,n,4,C,NA
7884,1994,99,8,n,NA,26.01,77.494,n,11,C,NA
7887,1994,104,6,c,1,25.05,76.52,n,5,NA,NA
7889,1994,104,7,c,2,25.05,76.52,n,6,NA,NA
7893,1994,109,13,c,2,25.064,76.521,n,6,O,NA
7893,2000,104,19,n,NA,28.005,78.842,r,11,O,NA
7898,1994,114,10,yr,1,25.462,77.263,n,7,O,NA
7898,1997,110,13,yr,2,25.09,76.53,r,8,O,NA
7905,1994,115,2,NA,NA,25.381,77.359,n,1,NA,NA
7906,1994,115,2,NA,NA,25.143,77.383,n,1,NA,NA
7907,1995,88,12,n,NA,25.42,76.67,n,11,NA,NA
7909,1995,89,5,n,NA,25.433,76.67,n,4,O,NA
7910,1995,89,2,NA,NA,25.45,76.667,n,1,NA,NA
7911,1995,89,8,n,NA,25.457,76.683,n,11,O,NA
7913,1995,89,10,n,NA,25.05,76.53,n,11,O,NA
7914,1995,89,5,n,NA,25.15,76.55,n,4,O,NA
7915,1995,90,7,n,NA,25.15,76.55,n,11,NA,NA
7917,1995,94,7,n,NA,25.7,76.55,n,11,O,NA
7917,2001,102,13,yr,1,24.80472,77.96713,r,7,O,NA
7918,1995,95,6,n,NA,25.41,76.65,n,11,O,NA
7919,1995,95,6,c,2,25.45,76.67,n,6,NA,NA
7928,1995,98,8,c,2,25.44,76.7,n,6,O,NA
7934,1995,100,5,n,NA,25.95,76.5,n,4,O,NA
7934,1998,91,8,c,2,23.22,77.95,r,6,O,NA
7935,1995,101,7,c,1,25.1,76.52,n,5,O,NA
7935,1997,97,9,c,1,25.244,76.555,r,5,O,NA
7937,1995,101,8,c,2,25.45,76.7,n,6,O,NA
7940,1995,101,6,c,2,24.95,76.5,n,6,O,NA
7940,1996,101,7,c,2,24.51,76.43,r,6,O,NA
7944,1995,102,10,c,2,25.1,76.51,n,6,O,NA
7949,1995,110,8,c,2,25.1,76.51,n,6,NA,NA
7951,1994,88,7,c,2,13.701,79.515,n,6,C,NA
7951,2002,118,15,c,2,14.046,79.381,r,6,C,NA
7951,2009,96,22,yr,1,15.37,79.429,r,7,C,NA
7951,2012,99,25,n,NA,14.0439,79.3113,r,11,C,NA
7951,2013,104,26,n,NA,13.659,79.665,r,11,C,NA
7955,1994,91,3,NA,NA,12.6,78.6,n,2,C,NA
7955,2000,96,9,yr,1,17.57,77.558,r,7,C,NA
7955,2005,115,14,n,NA,19.0572,78.5215,r,11,C,NA
7963,1995,110,6,c,2,25.1,76.5,n,6,O,NA
7966,1995,111,7,n,NA,25.1,76.5,n,11,NA,NA
7969,2003,111,9,n,NA,18.57,78.3,r,11,C,NA
7970,1995,117,2,NA,NA,16.3,76.95,n,1,NA,NA
7971,1995,117,2,NA,NA,16.3,77,n,1,C,NA
7979,1996,90,17,yr,1,25.5,76.6,n,7,NA,NA
7991,1996,93,11,2yr,1,25,76.533,n,9,O,NA
7991,2002,112,17,2yr,1,15.751,78.484,r,9,O,NA
7993,1996,93,14,c,1,25.467,76.7,n,5,O,NA
7997,1996,94,7,c,2,25.45,76.7,n,6,O,NA
20052,1998,128,12,c,2,37.68,75.902,r,6,NA,NA
20072,1998,93,14,c,1,23.22,77.95,r,5,O,NA
23001,1996,94,9,c,1,24.51,76.43,n,5,O,NA
23004,1996,95,9,c,2,25.4,76.68,n,6,O,NA
23007,1996,97,6,c,2,25,76.5,n,6,NA,NA
23010,1996,97,14,c,2,25.467,76.7,n,6,O,NA
23013,1996,98,7,c,2,25.52,76.683,n,6,O,NA
23016,1996,100,8,c,2,25.43,76.67,n,6,O,NA
23016,1998,113,10,c,2,25.487,76.711,r,6,O,NA
23022,1996,102,4,NA,NA,25,76.5,n,3,NA,NA
23023,1996,103,13,n,NA,NA,NA,n,11,NA,NA
23024,1996,103,7,c,1,25.5,76.7,n,5,NA,NA
23026,1996,103,10,c,2,25.267,76.567,n,6,NA,NA
23029,1996,103,8,yr,1,25.45,76.667,n,7,O,NA
23029,2009,105,21,n,NA,25.155,76.934,r,11,O,NA
23030,2001,112,6,c,1,28.17,78.92,r,5,O,NA
23031,1996,104,3,NA,NA,25.45,76.667,n,2,NA,NA
23032,1996,104,7,c,2,24.2,77.2,n,6,NA,NA
23035,1996,104,7,c,2,25.333,76.683,n,6,NA,NA
23039,1996,108,6,c,2,25.27,76.57,n,6,NA,NA
23042,1996,110,7,c,2,25.47,76.7,n,6,NA,NA
23046,1996,110,21,c,2,24.51,76.43,n,6,NA,NA
23046,1998,104,23,2yr,1,23.365,77.298,r,9,NA,NA
23049,1996,114,9,c,2,25.51,76.5,n,6,NA,NA
23052,1996,114,7,c,2,25.45,76.67,n,6,NA,NA
23052,1997,99,8,n,NA,22.4,77.37,r,11,NA,NA
23055,1996,114,6,c,2,25,76.5,n,6,NA,NA
23058,1996,114,6,n,NA,25.51,76.1,n,11,NA,NA
23062,1996,120,5,n,NA,15.65,79.25,n,4,NA,NA
23065,1996,122,11,n,NA,18.2,77.5,n,11,NA,NA
23066,2003,112,8,n,NA,21.876,77.459,r,11,NA,NA
23066,2005,109,10,yr,1,17.56092,77.10045,r,7,NA,NA
23066,2008,123,13,n,NA,17.798,77.264,r,11,NA,NA
23069,1997,87,15,n,NA,25.21,76.6,n,11,NA,NA
23071,1997,86,22,n,NA,25.13,76.57,n,11,O,NA
23076,1997,92,10,n,NA,25.1,76.5,n,11,O,NA
23077,1997,93,6,c,2,21.97,78.2,n,6,O,NA
23087,1997,95,11,n,NA,25.02,76.5,n,11,O,NA
23089,1997,97,26,n,NA,25.18,76.58,n,11,O,NA
23091,1997,97,7,2yr,2,24.997,76.51,n,10,O,NA
23092,1997,97,2,NA,NA,24.997,76.51,n,1,O,NA
23093,1997,97,2,NA,NA,24.997,76.51,n,1,O,NA
23096,1997,98,11,c,2,22,78.15,n,6,NA,NA
23099,1997,98,18,c,1,22.045,78.074,n,5,NA,NA
23100,2000,98,3,NA,NA,23.083,78.133,r,2,NA,NA
23101,1997,99,14,2yr,1,24.95,76.83,n,9,NA,NA
23101,2004,90,21,n,NA,16.625,77.053,r,11,NA,NA
23102,1997,99,2,NA,NA,24.95,76.83,n,1,NA,NA
23103,1997,99,20,yr,2,22.5,77.38,n,8,C,NA
23103,1998,95,21,2yr,1,23.73,77.5,r,9,C,NA
23103,1999,94,22,n,NA,23.673,77.493,r,11,C,NA
23103,2001,108,24,yr,1,23.422,77.406,r,7,C,NA
23105,1998,95,2,NA,NA,23.73,77.5,r,1,C,NA
23105,2000,103,4,NA,NA,23.073,77.352,r,3,C,NA
23106,1997,99,7,c,3,21.2,78.15,n,6,C,NA
23106,2003,116,13,yr,3,23.183,77.3,r,8,C,NA
23106,2009,104,19,c,3,20.4338,78.1941,r,6,C,NA
23109,1997,99,18,n,NA,25,76.5,n,11,NA,NA
23111,1997,100,6,c,1,25.086,76.555,n,5,NA,NA
23113,1997,104,6,c,1,24.977,76.456,n,5,O,NA
23115,1997,104,17,n,NA,23.73,76.91,n,11,NA,NA
23116,1997,104,16,yr,2,23.03,77.13,n,8,NA,NA
23120,1997,105,13,n,NA,25.17,77.1,n,11,NA,NA
23123,1997,107,8,c,1,24.98,76.46,n,5,O,NA
23123,2001,107,12,yr,1,26.082,76.738,r,7,O,NA
23125,1997,109,5,n,NA,24.24,77.17,n,4,NA,NA
23126,1997,109,8,yr,1,24.33,77.05,n,7,NA,NA
23128,1997,109,9,n,NA,24.33,77.05,n,11,NA,NA
23129,1997,109,18,yr,1,24.43,76.7,n,7,NA,NA
23131,1997,109,17,n,NA,24.8,76.83,n,11,NA,NA
23135,1997,110,15,n,NA,25.09,76.53,n,11,NA,NA
23137,1997,112,5,c,1,22.65,77.3,n,5,NA,NA
23139,1997,112,7,c,1,22,78.06,n,5,NA,NA
23139,1998,100,8,n,NA,25.617,76.93,r,11,NA,NA
23139,2000,104,10,n,NA,28.09,78.818,r,11,NA,NA
23141,1997,112,7,c,2,22,78.06,n,6,NA,NA
23145,1997,112,5,c,1,25.4,76.67,n,5,O,NA
23148,1997,115,14,c,2,25.02,76.5,n,6,NA,NA
23154,1997,120,6,yr,1,37.65,75.3,n,7,O,NA
23158,1997,121,13,c,1,42.15,76.43,n,5,O,NA
23158,2000,98,16,n,NA,25.073,76.555,x-ref,11,O,NA
23161,1997,122,6,yr,2,41.95,76.95,n,8,O,NA
23165,1997,122,8,n,NA,41.8,77.22,n,11,O,NA
23166,1997,122,5,n,NA,41.5,77.63,n,4,O,NA
23168,1997,123,3,NA,NA,42.95,77.26,n,2,NA,NA
23169,1997,123,9,n,NA,43.85,77.5,n,11,O,NA
23170,1997,123,7,n,NA,42.8,77.4,n,11,O,NA
23171,1997,124,12,n,NA,41.13,77.27,n,11,O,NA
23174,1997,125,5,n,NA,37.53,77,n,4,NA,NA
23175,1997,125,22,n,NA,37.3,76.96,n,11,NA,NA
23177,1997,125,4,NA,NA,37.15,77,n,3,NA,NA
23177,2000,93,7,n,NA,22.608,77.305,r,11,NA,NA
23178,1997,125,8,n,NA,36.96,76.84,n,11,NA,NA
23180,1997,126,12,n,NA,37.05,76.8,n,11,NA,NA
23182,1997,126,16,yr,1,37.98,76.97,n,7,NA,NA
23184,1998,90,17,n,NA,24.93,76.45,n,11,O,NA
23186,1998,90,28,n,NA,25.1,76.53,n,11,O,NA
23189,1998,91,11,n,NA,24.78,77.73,n,11,O,NA
23190,1998,91,12,c,2,24.35,77.88,n,6,NA,NA
23193,1998,91,19,c,1,23.22,77.95,n,5,NA,NA
23200,1998,93,14,yr,1,25,76.5,n,7,NA,NA
23203,1998,95,15,n,NA,21.85,77.47,n,11,NA,NA
23203,2000,94,17,n,NA,22.723,78.003,r,11,NA,NA
23204,1998,95,18,n,NA,21.32,77.6,n,11,NA,NA
23205,1998,95,13,n,NA,24.07,77.62,n,11,NA,NA
23210,1998,99,9,n,NA,26.13,76.78,n,11,NA,NA
23216,1998,100,9,n,NA,25.51,76.697,n,11,NA,NA
23218,1998,101,17,n,NA,23.925,77.988,n,11,NA,NA
23219,1998,101,4,NA,NA,23.823,77.985,n,3,O,NA
23219,2014,114,20,n,NA,22.666,78.311,r,11,O,NA
23222,1998,101,9,yr,2,25.2,77.043,n,8,NA,NA
23225,1998,102,10,n,NA,25.355,76.635,n,11,NA,NA
23226,1998,103,12,c,2,25.163,76.572,n,6,O,NA
23229,1998,103,7,c,2,25.454,76.695,n,6,O,NA
23233,1998,103,11,n,NA,23.113,77.238,n,11,NA,NA
23234,1998,104,2,NA,NA,23.365,77.298,ru,1,NA,NA
23236,1998,103,7,2yr,1,22.55,77.391,n,9,NA,NA
23237,1998,103,21,c,1,21.065,78.082,n,5,NA,NA
23237,2002,114,25,n,NA,19.177,78.228,r,11,NA,NA
23239,1998,104,15,yr,2,24.351,77.195,n,8,NA,NA
23242,1998,104,15,c,2,23.75,77.55,n,6,NA,NA
23245,1998,104,3,NA,NA,24.287,77.665,n,2,NA,NA
23246,1998,104,10,c,2,25.442,76.691,n,6,O,NA
23249,1998,105,14,c,2,25.157,76.55,n,6,O,NA
23252,1998,105,15,c,2,23.113,77.402,n,6,NA,NA
23255,1998,105,3,NA,NA,24.994,76.45,n,2,NA,NA
23256,1998,106,15,c,3,25.363,76.67,n,6,O,NA
23260,1998,106,6,c,1,25.433,76.693,n,5,NA,NA
23262,1998,106,7,c,3,25.475,76.703,n,6,NA,NA
23265,1998,106,12,c,3,23.232,77.455,n,6,NA,NA
23269,1998,106,14,c,1,23.757,77.513,n,5,NA,NA
23271,1998,106,9,c,2,22.468,77.948,n,6,NA,NA
23274,1998,106,7,c,2,22.843,78.035,n,6,NA,NA
23274,2006,114,15,c,2,21.533,79.703,r,6,NA,NA
23278,1998,107,16,c,2,25.3,76.633,n,6,NA,NA
23281,1998,107,8,c,1,25.428,76.683,n,5,NA,NA
23285,1998,109,5,n,NA,26.882,76.93,n,4,NA,NA
23288,1998,111,9,c,2,22.44,78.152,n,6,NA,NA
23291,1998,111,13,c,1,25.058,77.808,n,5,NA,NA
23293,1998,111,14,n,NA,25.498,76.945,n,11,NA,NA
23294,1998,113,15,c,1,24.878,76.458,n,5,NA,NA
23296,1998,113,24,n,NA,26.26,76.502,n,11,NA,NA
23301,1998,114,10,yr,2,27.142,77.055,n,8,NA,NA
23305,1998,119,8,n,NA,37.925,74.338,n,11,O,NA
23307,1998,119,9,yr,1,38.995,74.74,n,7,O,NA
23309,1998,119,7,n,NA,39.088,74.723,n,11,O,NA
23312,1998,122,2,NA,NA,41.093,75.23,n,1,O,NA
23313,1998,122,11,n,NA,40.845,75.262,n,11,O,NA
23315,1998,124,9,n,NA,41.585,75.705,n,11,O,NA
23317,1998,124,23,n,NA,43.598,75.978,n,11,O,NA
23319,1998,124,12,n,NA,41.058,76.615,n,11,O,NA
23321,1998,124,15,yr,1,40.943,75.988,n,7,O,NA
23324,1998,127,20,n,NA,39.147,75.957,n,11,O,NA
23325,1998,127,15,yr,1,39.455,76.018,n,7,O,NA
23329,1998,127,5,n,NA,38.212,75.762,n,4,O,NA
23330,1998,127,14,n,NA,38.15,76.133,n,11,O,NA
23331,1998,127,14,yr,2,38.68,76.09,n,8,O,NA
23335,1998,128,12,yr,2,37.488,75.88,n,8,O,NA
23343,2008,122,11,c,2,17.402,77.155,r,6,C,NA
23347,2000,98,16,c,2,23.648,78.023,r,6,C,NA
23347,2012,109,28,n,NA,20.702,78.56,r,11,C,NA
23352,2008,118,24,yr,1,18.492,77.721,r,7,C,NA
23356,2004,112,10,c,2,17.617,77.367,r,6,NA,NA
23357,2003,109,7,c,2,17.783,77.5,r,6,C,NA
23357,2004,112,8,n,NA,17.683,77.517,r,11,C,NA
23357,2005,115,9,c,1,17.563,77.552,r,5,C,NA
23357,2007,90,11,c,1,17.768,77.549,r,5,C,NA
23360,2013,119,21,c,1,18.6948,77.6518,r,5,NA,NA
